column_0,column_1,town_name,state,latitude,longitude
953,2671,West Harwich,MA,41.66559,-70.11152
954,2672,West Hyannisport,MA,41.63608,-70.31962
955,2673,West Yarmouth,MA,41.65688,-70.23726
956,2675,Yarmouth Port,MA,41.7032,-70.22395
957,2702,Assonet,MA,41.79219,-71.06446
958,2703,Attleboro,MA,41.9281,-71.31456
959,2712,Chartley,MA,41.75621,-71.06706
960,2713,Cuttyhunk,MA,41.42967,-70.8954
961,2714,Dartmouth,MA,41.75621,-71.06706
962,2715,Dighton,MA,41.81151,-71.13633
963,2717,East Freetown,MA,41.76593,-70.95332
964,2718,East Taunton,MA,41.87625,-71.01827
965,2719,Fairhaven,MA,41.63415,-70.8814
966,2720,Fall River,MA,41.71695,-71.13986
967,2721,Fall River,MA,41.68545,-71.15425
968,2722,Fall River,MA,41.75621,-71.06706
969,2723,Fall River,MA,41.69137,-71.13234
970,2724,Fall River,MA,41.68415,-71.17436
971,2725,Somerset,MA,41.72165,-71.17482
972,2726,Somerset,MA,41.75483,-71.14894
973,2735,Easton,MA,41.99935,-71.11358
974,2738,Marion,MA,41.7066,-70.75086
975,2739,Mattapoisett,MA,41.65478,-70.80087
976,2740,New Bedford,MA,41.63475,-70.93752
977,2741,New Bedford,MA,41.75621,-71.06706
978,2742,New Bedford,MA,41.61956,-70.95635
979,2743,Acushnet,MA,41.69702,-70.91019
980,2744,New Bedford,MA,41.61075,-70.91453
981,2745,New Bedford,MA,41.69281,-70.93264
982,2746,New Bedford,MA,41.65934,-70.93347
983,2747,North Dartmouth,MA,41.63792,-70.99076
984,2748,South Dartmouth,MA,41.59156,-70.9494
985,2760,North Attleboro,MA,41.9755,-71.33086
986,2761,North Attleboro,MA,41.75621,-71.06706
987,2762,Plainville,MA,42.01185,-71.32392
988,2763,Attleboro Falls,MA,41.96795,-71.31024
989,2764,North Dighton,MA,41.85156,-71.15125
990,2766,Norton,MA,41.96919,-71.1854
991,2767,Raynham,MA,41.93459,-71.04905
992,2768,Raynham Center,MA,41.75621,-71.06706
993,2769,Rehoboth,MA,41.83507,-71.26115
994,2770,Rochester,MA,41.76078,-70.83848
995,2771,Seekonk,MA,41.84345,-71.32343
996,2777,Swansea,MA,41.74155,-71.21433
997,2779,Berkley,MA,41.82525,-71.07799
998,2780,Taunton,MA,41.90489,-71.10288
999,2781,Westport,MA,41.52288,-71.06934
1000,2783,Taunton,MA,41.75621,-71.06706
1001,2789,South Kingstown,RI,41.48783,-71.45759
1002,2790,Westport,MA,41.60252,-71.08904
1003,2791,Westport Point,MA,41.5191,-71.08514
1004,2801,Adamsville,RI,41.53013,-71.28407
1005,2802,Albion,RI,41.9541,-71.46205
1006,2804,Ashaway,RI,41.43007,-71.78101
1007,2805,Foster,RI,41.83047,-71.71171
1008,2806,Barrington,RI,41.74683,-71.32031
1009,2807,Block Island,RI,41.17139,-71.58358
1010,2808,Bradford,RI,41.40201,-71.74785
1011,2809,Bristol,RI,41.6842,-71.26866
1012,2812,Carolina,RI,41.46603,-71.66408
1013,2813,Charlestown,RI,41.38526,-71.66813
1014,2814,Chepachet,RI,41.896,-71.70335
1135,3086,Wilton,NH,42.83018,-71.78177
1136,3087,Windham,NH,42.80519,-71.29878
1137,3091,Berwick,ME,43.31912,-70.81832
1138,3097,Ogunquit,ME,43.26914,-70.5983
1139,3101,Manchester,NH,42.98998,-71.46376
1140,3102,Manchester,NH,42.99068,-71.4868
1141,3103,Manchester,NH,42.96768,-71.44828
1142,3104,Manchester,NH,43.00603,-71.44716
1143,3105,Manchester,NH,42.95212,-71.65394
1144,3106,Hooksett,NH,43.05879,-71.44412
1145,3107,Manchester,NH,42.95212,-71.65394
1146,3108,Manchester,NH,42.95212,-71.65394
1147,3109,Manchester,NH,42.97258,-71.41349
1148,3110,Bedford,NH,42.94255,-71.51993
1149,3111,Manchester,NH,42.95212,-71.65394
1150,3215,Waterville Valley,NH,43.9513,-71.50336
1151,3216,Andover,NH,43.4447,-71.78401
1152,3217,Ashland,NH,43.70506,-71.62778
1153,3218,Barnstead,NH,43.33835,-71.29305
1154,3220,Belmont,NH,43.45956,-71.47352
1155,3221,Bradford,NH,43.25605,-71.95405
1156,3222,Bristol,NH,43.6158,-71.75006
1157,3223,Campton,NH,43.88768,-71.65161
1158,3224,Canterbury,NH,43.34614,-71.54434
1159,3225,Center Barnstead,NH,43.35401,-71.22819
1160,3226,Center Harbor,NH,43.72109,-71.49652
1161,3227,Center Sandwich,NH,43.80294,-71.45126
1162,3229,Contoocook,NH,43.20419,-71.70711
1163,3230,Danbury,NH,43.50641,-71.87281
1164,3231,East Andover,NH,43.46617,-71.73652
1165,3232,East Hebron,NH,43.96754,-71.84088
1166,3233,Elkins,NH,43.42348,-71.93648
1167,3234,Epsom,NH,43.22859,-71.3611
1168,3235,Franklin,NH,43.44446,-71.66034
1169,3237,Gilmanton,NH,43.42975,-71.37517
1170,3238,Glencliff,NH,43.96754,-71.84088
1171,3240,Grafton,NH,43.56833,-71.96422
1172,3241,Hebron,NH,43.71379,-71.80642
1173,3242,Henniker,NH,43.17347,-71.81722
1174,3243,Hill,NH,43.52167,-71.73815
1175,3244,Hillsboro,NH,43.11942,-71.92108
1176,3245,Holderness,NH,43.73783,-71.60441
1177,3246,Laconia,NH,43.55715,-71.43842
1178,3247,Laconia,NH,43.58897,-71.44545
1179,3249,Laconia,NH,43.55588,-71.39852
1180,3251,Lincoln,NH,44.05198,-71.6606
1181,3252,Lochmere,NH,43.46856,-71.53714
1182,3253,Meredith,NH,43.64456,-71.50488
1183,3254,Moultonborough,NH,43.71218,-71.39299
1184,3255,Newbury,NH,43.32582,-72.02654
1185,3256,New Hampton,NH,43.60768,-71.64372
1186,3257,New London,NH,43.41886,-72.00004
1187,3258,Chichester,NH,43.25588,-71.3976
1188,3259,North Sandwich,NH,43.88,-71.39475
1189,3260,North Sutton,NH,43.35684,-71.9255
1190,3261,Northwood,NH,43.21663,-71.2079
1191,3262,North Woodstock,NH,44.0285,-71.68701
1192,3263,Pittsfield,NH,43.30368,-71.3215
1193,3264,Plymouth,NH,43.75384,-71.64503
1194,3266,Rumney,NH,43.80636,-71.87952
1195,3268,Salisbury,NH,43.38857,-71.74199
1196,3269,Sanbornton,NH,43.52318,-71.5876
1519,4222,Durham,ME,43.9725,-70.12291
1520,4223,Danville,ME,44.02387,-70.28575
1521,4224,Dixfield,ME,44.55558,-70.41383
1522,4225,Dryden,ME,44.60271,-70.22651
1523,4226,East Andover,ME,44.61413,-70.69882
1524,4227,East Dixfield,ME,44.57914,-70.32634
1525,4228,East Livermore,ME,44.401,-70.13383
1526,4230,East Poland,ME,44.06267,-70.32705
1527,4231,Stoneham,ME,44.26156,-70.87044
1528,4234,East Wilton,ME,44.61751,-70.18201
1529,4236,Greene,ME,44.1944,-70.14181
1530,4237,Hanover,ME,44.49281,-70.7356
1531,4238,Hebron,ME,44.19742,-70.36975
1532,4239,Jay,ME,44.51647,-70.21933
1533,4240,Lewiston,ME,44.09477,-70.19141
1534,4241,Lewiston,ME,44.19701,-70.23949
1535,4243,Lewiston,ME,44.19701,-70.23949
